"","m.DIC","m.LPML","m.WAIC","c.DIC","c.LPML","c.WAIC","AUC_list","tvBrier_list"
"Jointfit1_s",893530.542308734,-446749.587874946,893499.490316103,1128792.39057358,-575197.486001619,1105864.48650812,0.558703160299073,0.0627562385683782
"Jointfit2_s",893570.67203318,-446769.992255134,893541.92192536,1129037.58806097,-575249.473225961,1106142.4501813,0.562559244680054,0.0627320126934993
"Jointfit3_s",893498.978709704,-446732.00708306,893464.944845204,1128871.85917113,-575248.299558033,1105978.11972405,0.561930606017019,0.0627677297260726
"Jointfit4_s",893752.083606784,-446868.185008965,893739.729647018,1128983.71413396,-575165.847317798,1106048.89412375,0.562830561232933,0.0627588138144578
"Jointfit5_s",893559.777689735,-446765.261407635,893529.253135544,1128885.53762157,-575193.737010444,1105956.59120622,0.5604220531996,0.0627746100873258
"Jointfit6_s",893514.845171665,-446742.056452468,893481.828024567,1128840.16114098,-575219.825365458,1105949.94462748,0.561641201701775,0.0627574913305195
"Jointfit7_s",893679.314961294,-446830.000132152,893660.852332433,1129005.5763803,-575428.824830322,1106066.07836321,0.561116540960723,0.0627509857465637
"Jointfit8_s",893538.229275242,-446753.640465175,893509.137042547,1128786.07354439,-575239.165110848,1105883.72551027,0.56352829362765,0.0627273369403032
"Jointfit9_s",893698.69634319,-446839.769755169,893680.834612291,1129076.11489679,-575260.978161729,1106151.29793972,0.563977757792687,0.0627538505466435
"Jointfit10_s",893682.445076835,-446831.043984952,893663.41805702,1129013.30197389,-575396.718395374,1106094.49472641,0.560970810679994,0.0627506793967669
