"","m.DIC","m.LPML","m.WAIC","c.DIC","c.LPML","c.WAIC","AUC_list","tvBrier_list"
"Jointfit1_s",893509.322054743,-446736.273047119,893474.742746261,1128764.34082656,-575118.39517261,1105877.41076005,0.553903912167948,0.0627423563785745
"Jointfit2_s",893551.395545601,-446760.289185441,893519.459506055,1128976.99823699,-575174.26367867,1106100.51100722,0.559746967378507,0.0627327920164211
"Jointfit3_s",893510.551661454,-446738.292109002,893476.568947518,1128762.20325081,-575072.994293727,1105875.37576528,0.555225436070094,0.0627484854990512
"Jointfit4_s",893714.160434629,-446847.732491434,893695.704841535,1128946.56524582,-575205.56029511,1106051.32274971,0.555468163824711,0.0627112082341161
"Jointfit5_s",893545.887185207,-446756.272705457,893512.237163287,1128919.50293096,-575306.337850432,1106037.57794732,0.557736435792176,0.0627851342127396
"Jointfit6_s",893501.816395797,-446733.121854159,893463.559449411,1128735.04591956,-575281.059334055,1105866.50944772,0.556320813949742,0.062709245024026
"Jointfit7_s",893668.55901116,-446821.737647079,893643.296117531,1129030.95105691,-575165.264100921,1106137.65276617,0.554127593985349,0.0627643260001926
"Jointfit8_s",893524.291794247,-446743.821031012,893488.715067965,1128828.08145411,-575006.370940799,1105923.6763463,0.561053665379177,0.062737757569033
"Jointfit9_s",893677.250473556,-446828.907934455,893655.338898307,1129006.33751181,-575182.477949281,1106095.86965944,0.563841564596421,0.0626356021719016
"Jointfit10_s",893677.36559943,-446827.007362326,893652.327033508,1128929.00443299,-575108.420472021,1106009.97304905,0.555932107865256,0.0627573956839916
